title,url
Directional filtering of recordings in spherical harmonic ...,https://odr.chalmers.se/items/f23a5a1f-8766-40f2-b4cf-0e6d7eb459c6/full
Parametric Coding of Binaural Audio - Chalmers ODR,https://odr.chalmers.se/items/7eaa2e05-62f4-4a9e-8112-890062c224f1/full
Structural Artificial Intelligence Health Monitoring System,https://odr.chalmers.se/items/3079211e-896d-48db-8a0b-e03f280f25ff/full
Intelligent Truss Design - Digitalization of the Building Process,https://odr.chalmers.se/items/143f32fc-a491-4593-a4f1-502b0e830902/full
Master's thesis ACEX30 Increasing implementation of digital tools ...,https://odr.chalmers.se/items/b800ab20-eb03-4bf6-bfad-ae9e20adf158/full
Consequence footprint analysis of benefits of CE scenario for ...,https://odr.chalmers.se/items/3345e8e1-3c07-4dc1-9452-2aba2b848d1c/full
MOST film applied to windows and the effect on space heating,https://odr.chalmers.se/items/6e27fd74-6df2-4b2a-8668-9ccc13a4b980/full
The application of Big Data technology to improve the ...,https://odr.chalmers.se/items/4ba6da59-1c9c-42d8-ae34-ff2a69ab5110/full
Combining building performance and life cycle assessment in ...,https://odr.chalmers.se/items/9d10462d-d284-4c9d-b671-b331a24f812c/full
Global Sensitivity Analysis of the Perniö test embankment,https://odr.chalmers.se/items/705f5361-bf56-4a67-8f46-50049af27363/full
Optimization of Cold-formed Steel Sections using Genetic ...,https://odr.chalmers.se/items/2fc99883-5b01-400d-98e0-db3c8fe55541/full
an investigation of algorithms for sound source localization of ...,https://odr.chalmers.se/items/08f24417-fbee-4042-ab77-c8291930ecda/full
a case study of the planned Dag Hammarskjöld boulevard,https://odr.chalmers.se/items/472a3a43-291a-4fed-bbf9-39fb709bff11/full
Changing business direction towards a more industrialized ...,https://odr.chalmers.se/items/8288cf35-1ec7-4dcb-8e0b-833f3980a329/full
Finite Element Analysis and Design Models for Composite ...,https://odr.chalmers.se/items/c245768a-ef94-46c9-bec5-8dbe839ace24/full
Reducing the carbon footprint through reusing building materials,http://odr.chalmers.se/items/a855afc7-e081-4db2-95ef-10c667cbe34f/full
Operational transfer path analysis of high frequency noise in ...,https://odr.chalmers.se/items/5dff77d9-0f6e-4229-a2df-f2f34b890fec/full
BIM implementation within infrastructure projects: A study to ...,https://odr.chalmers.se/items/f8b2adc2-f868-4c35-a02c-6001af12f31d/full
Start-up of aerobic granular sludge (AGS) reactors inoculated ...,https://odr.chalmers.se/items/6942dcb9-a354-4caa-9053-2232e5e6b87b/full
Future Risks on Moisture Safety in Ventilated Parallel Roofs,https://odr.chalmers.se/items/1ba61126-12e2-4e9a-b854-e46d32c354ab/full
Conceptual design and manufacture of ecoduct using fibre ...,https://odr.chalmers.se/items/6be33e15-490b-4a54-8f2f-1eb11e6b042d/full
Influence of thermal expansion in district heating network on ...,https://odr.chalmers.se/items/d2d9797f-8c01-4c96-bb94-28704d158ff7/full
Parameter Study and Optimization of Slab Frame Bridges,https://odr.chalmers.se/items/63132532-fd6e-49bc-a511-45246e9d28fb/full
Long-term behaviour of Timber Concrete Composite elements,https://odr.chalmers.se/items/2c1930d9-b13f-4e50-87e5-e2de47a49a7b/full
Next Generation CLT - Material optimisation of CLT with regard to ...,https://odr.chalmers.se/items/b043af6e-909e-4158-a3f2-90f72059db18/full
Investigation on Working Platforms for Tracked Plant,https://odr.chalmers.se/items/6404c476-114c-4a3c-b582-4e71f3639468/full
Annotated image database of cracked/uncracked concrete,https://odr.chalmers.se/items/f01374df-f7b0-4297-a6b3-823c75930fe1/full
Impact of low frequency road traffic noise on indoor ...,https://odr.chalmers.se/items/89e8ea9e-b17c-435f-a28b-03eb7e196613/full
Circular packaging plastic usage at construction sites,https://odr.chalmers.se/items/dfc66157-2df1-4a95-9b4c-4fa2ff8fb30f/full
Modeling of laminated veneer lumber - A study of the material ...,https://odr.chalmers.se/items/0073b083-68fd-42d4-af12-a2fb85cd3b1c/full
Interactive design using peridynamics - Chalmers ODR,https://odr.chalmers.se/items/3c57e8c2-18d8-46ba-85ce-857a368d17bb/full
A case study of first and last-mile connections to public transit ...,https://odr.chalmers.se/items/df03972e-f48f-4a1c-9157-cbb18c818196/full
Construction logistics in dense urban areas - Chalmers ODR,https://odr.chalmers.se/items/ab56eb95-1aa0-45be-97dc-1c9eb6574dfa/full
Estimating Impact noise through Cross Laminated Timber ...,https://odr.chalmers.se/items/8a1a0ed6-e583-4b47-a14d-1fb6f25de86e/full
Flange Buckling Behavior of Stainless Steel Girders with ...,https://odr.chalmers.se/items/1b00d3d5-9666-400d-ac6e-e3be49c0335e/full
Influence of roof-mounted solar panels - Chalmers ODR,https://odr.chalmers.se/items/7c0f444f-4444-44a1-b986-867f458f7895/full
Knowledge intensive design exploration Integration of data ...,https://odr.chalmers.se/items/1a6d74a8-77f3-43b4-b997-62095dbae7db/full
Flexible formwork for concrete shells - Chalmers ODR,https://odr.chalmers.se/items/78685e96-9384-4a60-b429-0c25409e8c15/full
Reusing construction materials through the use of a Logistics ...,https://odr.chalmers.se/items/1f703119-1e6d-4064-9b85-32f4a699c032/full
Finite-element modelling of compressed fibrous materials,https://odr.chalmers.se/items/254f2df1-1d76-467a-ac5a-906a09acd193/full
A pilot study to evaluate the effect of lime-cement columns on ...,https://odr.chalmers.se/items/9573e76d-204e-49c0-93bd-9ddbc151ea2e/full
A case study of Älvstranden Utveckling's work in three projects,https://odr.chalmers.se/items/2ba341fc-f6bf-4fc5-a4a5-c97569585523/full
Alternative Methods for Quick-Clay Mapping - Chalmers ODR,https://odr.chalmers.se/items/3f3f5e53-d52e-40ca-9a9c-5cda6716f29b/full
